Rank,Team,Player,"Fantasy Position",Games,Bye,SOS,InjuryRisk,"Consensus Proj","DS Proj",AuctionMarketValue,"DS AuctionValue","3D Value"
1,PHI,"Saquon Barkley",RB,17,9,-2.8%,0%,285,301,$60,$55,100
2,CIN,"Ja'Marr Chase",WR,17,10,0.4%,0%,271,287,$50,$54,98.6
3,ATL,"Bijan Robinson",RB,17,5,5.6%,0%,283,295,$55,$53,96.4
4,DET,"Jahmyr Gibbs",RB,17,8,-6.6%,0%,271,275,$51,$48,87.8
5,SF,"Christian McCaffrey",RB,17,14,4.4%,0%,257,289,$42,$48,87.3
6,DAL,"CeeDee Lamb",WR,17,10,-3.2%,0%,243,270,$41,$47,85.6
7,BAL,"Derrick Henry",RB,17,7,-4.3%,0%,263,276,$53,$46,84.5
8,MIN,"Justin Jefferson",WR,17,6,-0.6%,0%,250,260,$42,$46,84.2
9,LVR,"Ashton Jeanty",RB,17,8,-1.8%,0%,242,262,$43,$43,78.3
10,IND,"Jonathan Taylor",RB,17,11,0.8%,0%,246,254,$43,$42,77.1
11,HOU,"Nico Collins",WR,17,6,0.3%,0%,233,254,$37,$42,76.1
12,NYG,"Malik Nabers",WR,17,14,-2.7%,0%,233,249,$37,$42,75.8
13,JAC,"Brian Thomas Jr.",WR,17,8,-1.2%,0%,221,248,$36,$40,72.8
14,LAR,"Puka Nacua",WR,17,8,0.4%,0%,227,244,$33,$38,69.5
15,MIA,"De'Von Achane",RB,17,12,2.8%,0%,242,259,$33,$38,68.5
16,PHI,"A.J. Brown",WR,17,9,1.1%,0%,218,236,$33,$37,66.6
17,LAR,"Kyren Williams",RB,17,8,2.6%,0%,232,245,$38,$36,64.6
18,ATL,"Drake London",WR,17,5,1.4%,0%,217,234,$32,$35,64.5
19,DET,"Amon-Ra St. Brown",WR,17,8,1%,0%,220,224,$33,$35,63.6
20,GB,"Josh Jacobs",RB,17,5,-0.4%,0%,243,242,$40,$35,62.9
21,CIN,"Chase Brown",RB,17,10,-0.7%,0%,225,238,$32,$34,61.5
22,CIN,"Tee Higgins",WR,17,10,0.4%,0%,210,231,$26,$32,58.7
23,TB,"Bucky Irving",RB,17,9,2.1%,0%,237,241,$32,$32,58.5
24,LVR,"Brock Bowers",TE,17,8,-6.5%,0%,195,217,$28,$31,55.6
25,BAL,"Lamar Jackson",QB,17,7,-3.5%,0%,365,381,$29,$30,54.9
26,LAC,"Omarion Hampton",RB,17,12,-3.4%,0%,199,227,$29,$30,54.6
27,WAS,"Jayden Daniels",QB,17,12,-2.3%,0%,361,383,$27,$30,53.7
28,BUF,"Josh Allen",QB,17,7,-0.1%,0%,365,375,$28,$29,52.7
29,SEA,"Kenneth Walker III",RB,17,8,3.4%,0%,198,231,$19,$29,52.3
30,BUF,"James Cook",RB,17,7,-1.9%,0%,213,231,$29,$29,52.2
31,PHI,"Jalen Hurts",QB,17,9,-0.5%,0%,356,378,$26,$28,50.5
32,ARI,"James Conner",RB,17,8,4.7%,0%,197,238,$25,$28,50
33,NO,"Alvin Kamara",RB,17,11,6.9%,0%,205,234,$19,$27,49.8
34,LAC,"Ladd McConkey",WR,17,12,-0.8%,0%,205,206,$24,$27,49.8
35,ARI,"Trey McBride",TE,17,8,4.9%,0%,188,200,$23,$26,47.9
36,TB,"Mike Evans",WR,17,9,0.7%,0%,197,215,$23,$26,47.9
37,MIA,"Tyreek Hill",WR,17,12,2.9%,0%,201,206,$27,$26,47.7
38,SF,"George Kittle",TE,17,14,3.6%,0%,188,188,$24,$26,46.6
39,CAR,"Chuba Hubbard",RB,17,14,3.4%,0%,203,223,$23,$25,45.4
40,NYJ,"Breece Hall",RB,17,9,5%,0%,193,210,$19,$24,43.4
41,LAR,"Davante Adams",WR,17,8,0.4%,0%,202,191,$21,$22,39.7
42,SEA,"Jaxon Smith-Njigba",WR,17,8,1.5%,0%,186,196,$18,$21,39
43,ARI,"Marvin Harrison Jr.",WR,17,8,0.9%,0%,194,189,$21,$21,38.9
44,PIT,"D.K. Metcalf",WR,17,5,1.9%,0%,189,197,$21,$21,38.6
45,WAS,"Terry McLaurin",WR,17,12,-0.2%,0%,189,196,$22,$21,38.6
46,NYJ,"Garrett Wilson",WR,17,9,3%,0%,182,191,$18,$21,37.6
47,CAR,"Tetairoa McMillan",WR,17,14,2%,0%,171,195,$14,$21,37.4
48,KC,"Xavier Worthy",WR,17,10,0.6%,0%,176,191,$17,$20,36.6
49,CHI,"D.J. Moore",WR,17,5,0.5%,0%,182,189,$17,$20,36
50,MIA,"Jaylen Waddle",WR,17,12,2.9%,0%,165,195,$13,$19,35.2
51,PHI,"DeVonta Smith",WR,17,9,1.1%,0%,180,188,$14,$19,34.9
52,DET,"Jameson Williams",WR,17,8,1%,0%,165,189,$18,$19,34.4
53,DEN,"Courtland Sutton",WR,17,12,-1.3%,0%,180,193,$17,$19,34
54,NE,"TreVeyon Henderson",RB,17,14,3.7%,0%,184,199,$16,$19,33.8
55,DAL,"George Pickens",WR,17,10,-3.2%,0%,169,188,$16,$18,33.3
56,CIN,"Joe Burrow",QB,17,10,-4.8%,0%,340,366,$17,$18,33.1
57,DET,"Sam LaPorta",TE,17,8,2.9%,0%,148,157,$14,$18,32.9
58,BAL,"Zay Flowers",WR,17,7,1.2%,0%,170,192,$15,$18,32.1
59,KC,"Rashee Rice",WR,11,10,0.6%,0%,180,181,$12,$17,30.5
60,DET,"David Montgomery",RB,17,8,-6.6%,0%,176,199,$13,$17,30.2
61,TEN,"Tony Pollard",RB,17,10,-0.4%,0%,179,192,$14,$16,28.7
62,JAC,"Travis Hunter",WR,17,8,-1.2%,0%,155,177,$10,$16,28.7
63,TEN,"Calvin Ridley",WR,17,10,1.2%,0%,168,187,$15,$16,28.6
64,KC,"Isiah Pacheco",RB,17,10,-1%,0%,166,196,$12,$16,28.4
65,KC,"Travis Kelce",TE,17,10,-8.1%,0%,141,155,$10,$15,27.4
66,WAS,"Deebo Samuel",WR,17,12,-0.2%,0%,159,183,$11,$15,26.9
67,BAL,"Mark Andrews",TE,17,7,4.6%,0%,134,146,$14,$15,26.7
68,SF,"Ricky Pearsall",WR,17,14,1.1%,0%,149,171,$8,$15,26.5
69,DEN,"RJ Harvey",RB,17,12,-3%,0%,165,184,$11,$15,26.5
70,MIN,"T.J. Hockenson",TE,17,6,-5.3%,0%,138,145,$11,$14,26.3
71,CHI,"D'Andre Swift",RB,17,5,-3.4%,0%,174,184,$11,$14,26
72,NO,"Chris Olave",WR,17,11,-1%,0%,155,176,$10,$14,25.8
73,MIN,"Aaron Jones",RB,17,6,-3.5%,0%,165,181,$10,$14,25.4
74,CHI,"Rome Odunze",WR,17,5,0.5%,0%,151,163,$9,$14,25.2
75,CLE,"David Njoku",TE,17,9,2.3%,0%,139,146,$9,$14,25
76,CLE,"Jerry Jeudy",WR,17,9,-2.2%,0%,171,165,$14,$13,23.6
77,MIN,"Jordan Addison",WR,14,6,-0.6%,0%,155,169,$8,$13,23.5
78,TB,"Emeka Egbuka",WR,17,9,0.7%,0%,141,160,$7,$13,22.9
79,LVR,"Jakobi Meyers",WR,17,8,-0.8%,0%,156,177,$8,$13,22.8
80,GB,"Jayden Reed",WR,17,5,-0.7%,0%,137,172,$7,$12,22.5
81,GB,"Tucker Kraft",TE,17,5,-4.1%,0%,125,136,$8,$11,20.8
82,SF,"Jauan Jennings",WR,17,14,1.1%,0%,151,157,$6,$11,20.5
83,BUF,"Khalil Shakir",WR,17,7,1.1%,0%,147,167,$5,$11,19.6
84,NYG,"Tyrone Tracy Jr.",RB,17,14,-4.6%,0%,161,169,$8,$11,19.6
85,PIT,"Kaleb Johnson",RB,17,5,-1.3%,0%,158,156,$10,$11,19.5
86,IND,"Tyler Warren",TE,17,11,0.4%,0%,122,130,$8,$11,19.3
87,GB,"Matthew Golden",WR,17,5,-0.7%,0%,150,149,$11,$11,19.3
88,BUF,"Dalton Kincaid",TE,17,7,4.6%,0%,113,134,$6,$11,19.1
89,NE,"Stefon Diggs",WR,17,14,1.1%,0%,147,158,$8,$10,18.9
90,BUF,"Keon Coleman",WR,17,7,1.1%,0%,143,152,$7,$10,18
91,KC,"Patrick Mahomes",QB,17,10,1.1%,0%,319,331,$9,$10,17.7
92,DEN,"Evan Engram",TE,17,12,1.9%,0%,120,130,$6,$10,17.5
93,PHI,"Dallas Goedert",TE,17,9,-4.5%,0%,118,130,$6,$10,17.4
94,MIN,"Jordan Mason",RB,17,6,-3.5%,0%,126,150,$6,$9,17.2
95,IND,"Josh Downs",WR,17,11,-0.9%,0%,140,152,$5,$9,16.9
96,PIT,"Jaylen Warren",RB,17,5,-1.3%,0%,148,160,$5,$9,16.8
97,DAL,"Jake Ferguson",TE,17,10,-6.4%,0%,119,134,$5,$9,16.6
98,NO,"Rashid Shaheed",WR,17,11,-1%,0%,139,148,$6,$8,15.3
99,IND,"Michael Pittman Jr.",WR,17,11,-0.9%,0%,148,145,$6,$8,15.1
100,ATL,"Darnell Mooney",WR,17,5,1.4%,0%,136,150,$6,$8,14.7
101,CHI,"Colston Loveland",TE,17,5,-1%,0%,104,115,$6,$8,13.9
102,DEN,"J.K. Dobbins",RB,17,12,-3%,0%,134,144,$4,$8,13.7
103,TB,"Chris Godwin",WR,13,9,0.7%,0%,155,147,$6,$7,13.2
104,JAC,"Travis Etienne",RB,17,8,0.6%,0%,126,144,$3,$7,12.7
105,WAS,"Zach Ertz",TE,17,12,-6.2%,0%,113,120,$7,$7,12.4
106,DEN,"Bo Nix",QB,17,12,1.6%,0%,307,322,$5,$7,12.2
107,BAL,"Isaiah Likely",TE,16,7,4.6%,0%,98,112,$13,$7,11.9
108,ATL,"Kyle Pitts",TE,17,5,5.4%,0%,110,110,$6,$6,11.7
109,TB,"Baker Mayfield",QB,17,9,1.3%,0%,316,314,$6,$6,11.7
110,NYJ,"Justin Fields",QB,17,9,3.2%,0%,300,317,$4,$6,11.3
111,WAS,"Austin Ekeler",RB,17,12,-3.9%,0%,136,143,$4,$6,11.1
112,SEA,"Cooper Kupp",WR,17,8,1.5%,0%,138,134,$6,$6,11
113,CLE,"Quinshon Judkins",RB,17,9,0.1%,0%,116,137,$4,$6,10.9
114,KC,"Marquise Brown",WR,17,10,0.6%,0%,120,143,$3,$6,10.9
115,HOU,"Christian Kirk",WR,17,6,0.3%,0%,120,145,$4,$6,10.4
116,NE,"Hunter Henry",TE,17,14,1.6%,0%,106,111,$5,$6,10.4
117,JAC,"Tank Bigsby",RB,17,8,0.6%,0%,112,128,$5,$6,10.3
118,ARI,"Kyler Murray",QB,17,8,6.7%,0%,303,311,$5,$6,10
119,SF,"Brandon Aiyuk",WR,11,14,1.1%,0%,131,143,$5,$6,10
120,HOU,"Joe Mixon",RB,11,6,2.3%,0%,143,145,$4,$5,9.8
121,PIT,"Jonnu Smith",TE,17,5,3%,0%,99,108,$7,$5,9.8
122,NE,"Rhamondre Stevenson",RB,17,14,3.7%,0%,119,127,$3,$5,9.7
123,TEN,"Chigoziem Okonkwo",TE,17,10,4.1%,0%,103,114,$4,$5,9.7
124,CHI,"Caleb Williams",QB,17,5,-4.1%,0%,291,315,$2,$5,9.3
125,TB,"Cade Otton",TE,17,9,-2.6%,0%,99,114,$5,$5,9.3
126,CIN,"Mike Gesicki",TE,17,10,0.5%,0%,97,109,$6,$5,9.1
127,WAS,"Jacory Croskey-Merritt",RB,17,12,-3.9%,0%,125,118,$5,$5,8.8
128,HOU,"Jayden Higgins",WR,17,6,0.3%,0%,120,133,$5,$5,8.2
129,DAL,"Brandon Aubrey",K,17,10,-4.2%,0%,159,168,$4,$4,7.8
130,SF,"Brock Purdy",QB,17,14,4.3%,0%,306,306,$3,$4,7.8
131,JAC,"Brenton Strange",TE,17,8,3.7%,0%,99,101,$5,$4,7.5
132,DAL,"Javonte Williams",RB,17,10,-3.2%,0%,119,121,$3,$4,6.7
133,SEA,"Zach Charbonnet",RB,17,8,3.4%,0%,126,115,$2,$4,6.6
134,DAL,"Dak Prescott",QB,17,10,-5%,0%,290,306,$1,$3,6.3
135,NO,"Juwan Johnson",TE,17,11,0.7%,0%,92,100,$8,$3,6.3
136,LAC,"Justin Herbert",QB,17,12,-0.7%,0%,285,308,$1,$3,6
137,LAC,"Keenan Allen",WR,17,12,-0.8%,0%,124,126,$2,$3,6
138,HOU,"Dalton Schultz",TE,17,6,2.3%,0%,94,103,$8,$3,5.6
139,PIT,"Pat Freiermuth",TE,17,5,3%,0%,90,98,$8,$3,5.5
140,GB,"Romeo Doubs",WR,17,5,-0.7%,0%,113,135,$6,$3,5.4
141,NE,"Drake Maye",QB,17,14,1.5%,0%,288,300,$1,$3,5.3
142,JAC,"Trevor Lawrence",QB,17,8,3%,0%,278,304,$1,$3,5.1
143,MIA,"Darren Waller",TE,17,12,2.4%,0%,97,97,$6,$3,5.1
144,LAC,"Cameron Dicker",K,17,12,-0.9%,0%,157,162,$3,$3,5
145,TEN,"Tyjae Spears",RB,13,10,-0.4%,0%,123,114,$1,$2,4.4
146,NYG,"Theo Johnson",TE,17,14,-5.9%,0%,86,93,$8,$2,4.3
147,DEN,"Marvin Mims Jr.",WR,17,12,-1.3%,0%,119,129,$3,$2,4.2
148,ATL,"Younghoe Koo",K,17,5,7.4%,0%,144,162,$1,$2,4.1
149,CLE,"Cedric Tillman",WR,17,9,-2.2%,0%,122,119,$2,$2,4
150,NYG,"Cameron Skattebo",RB,17,14,-4.6%,0%,101,119,$1,$2,4
151,CAR,"Ja'Tavion Sanders",TE,17,14,1%,0%,73,90,$4,$2,3.9
152,GB,"Jordan Love",QB,17,5,-3.1%,0%,279,303,$1,$2,3.9
153,WAS,"Matt Gay",K,17,12,-3.1%,0%,150,156,$2,$2,3.8
154,BAL,"Rashod Bateman",WR,17,7,1.2%,0%,119,122,$6,$2,3.5
155,NYJ,"Braelon Allen",RB,17,9,5%,0%,87,101,$1,$2,3.5
156,PHI,"Jake Elliott",K,17,9,-4.2%,0%,151,156,$2,$2,3.4
157,DET,"Jared Goff",QB,17,8,-4.1%,0%,279,299,$1,$2,3.3
158,DET,"Jake Bates",K,17,8,-8.9%,0%,155,154,$2,$2,3.3
159,JAC,"Bhayshul Tuten",RB,17,8,0.6%,0%,74,96,$2,$2,3.2
160,KC,"Harrison Butker",K,17,10,-3.1%,0%,147,151,$2,$2,3.1
161,TB,"Rachaad White",RB,17,9,2.1%,0%,96,111,$2,$2,3
